レバレジーズ株式会社,カスタマーサクセス担当／IT領域,"東京都                                                                                                                                                                    




レバレジーズ株式会社の求人
をすべて見る",公開していません,11日前,レバレジーズ株式会社
株式会社助太刀,カスタマーサクセス／IT業界未経験歓迎／建設×SaaSのリーディングカンパニー,東京都 渋谷区 渋谷駅,年収400万円～700万円,公開していません,Geekly
株式会社LMK,ITベンチャー企業のカスタマーサクセス,東京都 渋谷区,年収300万円～360万円,17日前,株式会社LMK
株式会社ウィルオブ・ワーク,成長中!不動産会社をITで支援するカスタマーサクセス,東京都 渋谷区 代官山駅 徒歩3分,"時給1,600円～",公開していません,WILLOF
株式会社灯火,IT／コンピュータ ユーザーサポート カスタマーサクセスエンジニア,東京都 港区 新橋駅 徒歩11分,年収450万円～600万円,公開していません,株式会社灯火
キャリフレ,IT／コンピュータ ユーザーサポート オフィスワーク経験1年あれば未経験可,東京都 新宿区,月給22万円～40万円,公開していません,キャリフレ
株式会社ギャプライズ,カスタマーサクセス／海外最先端ITソリューション:yotpo.その他新規プロダクト,東京都 新宿区 新宿駅,年収350万円～700万円,公開していません,Geekly
株式会社ロフタル,自社ITサービスの営業・カスタマーサクセス,東京都 渋谷区 恵比寿駅 徒歩10分,"時給2,000円～",公開していません,かんたん応募
株式会社For A-career,コンサルタント／営業／IT・クリエイティブ medica カスタマーサクセスポジション,東京都 渋谷区 渋谷駅 徒歩8分,"月給18万8,040円～36万609円",公開していません,株式会社For A-career
株式会社アクシバース,カスタマーサクセス Mgr候補／1週間を5秒に!業務効率化×ITのサービスで継続率99.5%を実現,東京都 千代田区,年収500万円～900万円,3日前,en ミドルの転職
株式会社ハイパーソフト,営業／企画営業 ITで美容業界をデザインしよう!美容サロンPOSシステムのカスタマーサクセス,東京都 港区 白金高輪駅 徒歩10分,"月給23万1,500円～35万円",2日前,株式会社ハイパーソフト
株式会社アシロ,カスタマーサクセス:年休125日以上／残業20h／法律事務所の経営をITで救う,東京都 新宿区,年収400万円～600万円,16日前,リクルートエージェント
LDG,アパレル×ITのスタートアップ!カスタマーサクセスを募集,東京都 渋谷区,年収300万円～,公開していません,LDG
JTP株式会社,ITコンサル、企画、マーケティング、カスタマーサクセス,東京都 品川区,月給24万円,公開していません,専門学校の就活 Career Map
株式会社SAMURAI,カスタマーサクセス,東京都 渋谷区 渋谷駅 徒歩5分,年収400万円～600万円,26日前,U29JOB
ソフトブレーン株式会社,カスタマーサクセス,東京都 中央区,年収400万円～700万円,公開していません,パソナキャリア
E-agent合同会社,カスタマーサクセス,東京都 目黒区                                                                                                                                                                その他 (23),月給30万円～,公開していません,E-agent合同会社
株式会社スタディスト,管理職 カスタマーサクセス,東京都,年収450万円～650万円,公開していません,Spring転職エージェント
株式会社ジグザグ,カスタマーサクセスマネージャー,東京都 渋谷区 渋谷駅 徒歩6分,年収500万円～700万円,公開していません,U29JOB
株式会社KiteRa,カスタマーサクセス／責任候補者,東京都 港区,月給50万円～,公開していません,日経転職版
モビルス株式会社,カスタマーサクセス／導入前後での顧客支援,東京都 品川区,年収450万円～550万円,12時間前,doda
株式会社グローバ,カスタマーサクセス,東京都 渋谷区 渋谷駅 徒歩7分,年収400万円～800万円,1日前,Green
株式会社SmartHR,人事労務領域SaaSにおけるカスタマーサクセス,東京都 港区 六本木一丁目駅,年収400万円～900万円,14日前,マイナビ転職エージェントサーチ
株式会社primeNumber,カスタマーサクセスエンジニア,東京都 目黒区,"年収480万円～1,200万円",21日前,マイナビAGENT
株式会社エーティーエス,9月開始!大手／在宅勤務／カスタマーサクセスの支援・業務補佐,東京都,"時給2,200円～2,600円",7日前,テクパス
株式会社Sportip,カスタマーサクセス,東京都 文京区 本郷三丁目駅,年収462万円～700万円,公開していません,Geekly
株式会社ラクス,カスタマーサクセス,東京都 渋谷区,"年収900万円～1,150万円",1日前,パソナキャリア
MNTSQ株式会社,年収～1500万円／コンサルタント・カスタマーサクセス エンタープライズ向けSaaSプロダクトの開発,東京都 中央区,"年収600万円～1,500万円",13日前,LIBZ
株式会社カミナシ,カスタマーサクセス,東京都 千代田区,公開していません,公開していません,【公式】ワーママ転職ならママリブラ
株式会社Pathee,カスタマーサクセスマネージャー,東京都 品川区 五反田駅 徒歩3分,年収600万円～900万円,3日前,CREATIVE JOB
カイロスマーケティング株式会社,カスタマーサクセス,東京都 渋谷区 原宿駅 徒歩8分,年収300万円～800万円,公開していません,Green
CAPS株式会社,人事系SaaSシステムのカスタマーサクセス,東京都 港区 六本木駅,年収400万円～800万円,16日前,doda
コインチェック株式会社,カスタマーサクセス・マネージャー候補／バーチャル株主総会支援サービス「Sharely 」,東京都 渋谷区 渋谷駅,年収600万円～800万円,12日前,doda
株式会社PR TIMES,カスタマーサポート・カスタマーサクセス,東京都 千代田区 溜池山王駅 徒歩1分,年収400万円～600万円,22時間前,CREATIVE JOB
株式会社Viibar,VideoTouchのカスタマーサクセス／フルリモート可,東京都 渋谷区,年収500万円～800万円,公開していません,リクルートエージェント
株式会社EVERRISE,ITセールス,東京都 港区 六本木駅 徒歩3分,年収500万円～700万円,17日前,U29JOB
クリエイティブサーベイ株式会社,カスタマーサクセス,東京都 港区,年収400万円～800万円,19日前,doda
株式会社クラウドワークス,カスタマーサクセス立上げ／働き方改革を促進するSaaS「クラウドログ」,東京都 渋谷区 恵比寿駅,年収400万円～800万円,17日前,doda
株式会社ジーネクスト,カスタマーサクセス,東京都 千代田区,年収500万円～700万円,7時間前,エージェントパーク
RPAホールディングス株式会社,OA RaaS事業 RoboRoboカスタマーサクセス,東京都,年収420万円～700万円,公開していません,Spring転職エージェント
アディッシュ株式会社,既存営業／スタートアップ企業の成長をカスタマーサクセスで実現する営業,東京都,年収360万円～480万円,公開していません,Spring転職エージェント
株式会社9E,法人営業 インサイドセールス・カスタマーサクセスに特化した採用コンサルティング営業／創業期メンバー,東京都,年収360万円～600万円,公開していません,キャリフレ
SATORI株式会社,カスタマーサクセス,東京都 渋谷区 渋谷駅,年収440万円～700万円,19日前,doda
株式会社COUNTERWORKS,カスタマーサクセス,東京都 目黒区 中目黒駅 徒歩3分,年収360万円～540万円,24日前,U29JOB
paiza株式会社,カスタマーサクセス部門長・マネージャー候補,東京都 港区 外苑前駅,"年収600万円～1,000万円",17日前,doda
SORABITO株式会社,カスタマーサクセスオペレーション／カスタマーサクセスの戦略設計,東京都 中央区 茅場町駅,年収550万円～800万円,公開していません,Geekly
ヤフー株式会社,カスタマーサクセス,東京都 千代田区 永田町駅,"年収400万円～1,000万円",26日前,U29JOB
サイオステクノロジー株式会社,カスタマーサクセス リーダー候補／フルリモート・フルフレックス勤務可,東京都 港区 白金高輪駅,年収500万円～750万円,28日前,doda
PHC株式会社,カスタマーサクセスリーダー候補／電子カルテSaaS／ヘルスケアグローバル企業,東京都 渋谷区,年収500万円～950万円,14日前,doda
株式会社医健コンシェル,カスタマーサクセス管理職,東京都 渋谷区,"年収1,000万円～",6日前,株式会社医健コンシェル
ファイルフォース株式会社,カスタマーサクセス 「Voicy」にてユニークな企業として取り上げられた上場準備中のSaaSベンチャ...,東京都 千代田区,年収400万円～720万円,14日前,LIBZ
株式会社Asobica,カスタマーサクセス領域のインフラSaaSを目指すAsobicaの中枢ポジション!,東京都 品川区,年収400万円～600万円,14日前,LIBZ
リマールエステート株式会社,不動産会社向けSaaSのカスタマーサクセス 代表が国会議員の不動産テック会社,東京都 中央区,年収400万円～800万円,16日前,doda
株式会社YOUTRUST,カスタマーサクセス,東京都 渋谷区 神泉駅 徒歩5分,年収350万円～650万円,2日前,Green
株式会社グッドパッチ,セールス・カスタマーサクセス,東京都 渋谷区 渋谷駅 徒歩7分,年収450万円～620万円,26日前,U29JOB
東証一部 情報機器、医療機器メーカー コニカミノ...,介護業界向けICTサービス事業のカスタマーサクセス／カスタマーサポート構築者,東京都 八王子市,"年収800万円～1,200万円",公開していません,アルファサーチ
株式会社スカイアーク,Web社内報システムのカスタマーサクセス・マネージャー,東京都 千代田区,年収400万円～600万円,12日前,doda
AI inside株式会社,カスタマーサクセス／AI-OCR 「DX Suite」AI工学文字認識市場シェア64%,東京都 渋谷区 渋谷駅,年収400万円～600万円,14日前,doda
株式会社トレタ,フルリモート／カスタマーサクセス,東京都 品川区 五反田駅 徒歩8分,年収350万円～500万円,1日前,Green
freee株式会社,カスタマーサクセス オペレーションマネージャー,東京都 品川区,"年収1,200万円",15日前,マイナビAGENT
株式会社アンドパッド,カスタマーサクセス／マネージャー候補 Forbes JAPAN「Cloud Top10」選出,東京都 千代田区,年収500万円～800万円,10日前,リクルートエージェント
パーソルプロセス&テクノロジー株式会社,カスタマーサクセス ～LTV改善を通じて顧客ビジネスを成功に導く／企画・構築・運用まで実行～,東京都 江東区 豊洲駅,年収430万円～550万円,20日前,doda
Micoworks株式会社,カスタマーサクセスマネージャー,東京都 千代田区,"年収800万円～1,200万円",3日前,doda
株式会社リブ・コンサルティング,カスタマーサクセスマネージャー,東京都 千代田区,公開していません,公開していません,【公式】ワーママ転職ならママリブラ
株式会社インゲージ,カスタマーサクセス 東京,東京都 港区 赤羽橋駅 徒歩4分,年収300万円～550万円,1日前,Green
株式会社チームスピリット,カスタマーサクセス,東京都 中央区 京橋駅,年収300万円～750万円,公開していません,キャリコネ転職
株式会社ディーバ,カスタマーサクセス担当者,東京都,年収400万円～650万円,公開していません,Spring転職エージェント
ベーシック株式会社,カスタマーサクセス,東京都 千代田区,"月給28万1,904円～45万3,333円",19日前,【公式】ワーママ転職ならママリブラ
Nota株式会社,カスタマーサクセス,東京都 港区 新橋駅,年収600万円～800万円,15日前,doda
株式会社ROBOT PAYMENT,カスタマーサクセス 決済×SaaSで企業を支援するベンチャー企業 年休120日,東京都 渋谷区 渋谷駅 徒歩5分,"月給33万4,000円～",7日前,エン転職
Tangerine株式会社,フィールドセールス・カスタマーサクセス,東京都 港区 白金高輪駅 徒歩8分,年収350万円～550万円,3日前,doda
株式会社トモノカイ,カスタマーサクセス・コールセンター責任者候補／「家庭教師サービス」事業,東京都 渋谷区,年収500万円～650万円,10日前,Education Career
リアステージ,カスタマーサクセスマネージャー,東京都 渋谷区 渋谷駅,年収540万円～800万円,28日前,リアステージ
株式会社ネットショップ支援室,クライアントのEC運営を最大化させるカスタマーサクセス業,東京都 新宿区 四ツ谷駅,年収350万円～600万円,公開していません,Office Lady
ファウンダーズ株式会社,カスタマーサクセス・完全フルリモートワーク可能,東京都 渋谷区 北参道駅 徒歩1分,月給30万円～50万円,21時間前,イーキャリア
パナソニックホールディングス株式会社,工務店向けクラウドsumgooカスタマーサクセス,東京都 港区 浜松町駅 徒歩9分,年収550万円～900万円,24日前,U29JOB
Ubie株式会社,クリニック向けカスタマーサクセス,東京都,年収350万円～470万円,23日前,Spring転職エージェント
株式会社LegalForce,カスタマーサクセス ～AI×法務「国内初リーガルテック」SaaS企業～,東京都 江東区,年収700万円～900万円,18日前,doda
Classi株式会社,カスタマーサクセスチーム責任者／ベネッセ×ソフトバンクの合弁会社,東京都 新宿区,年収600万円～800万円,公開していません,Education Career
スラッシュ株式会社,カスタマーサクセス CS,東京都 港区 赤坂駅 徒歩3分,年収400万円～600万円,19日前,Green
テックタッチ株式会社,カスタマーサクセス,東京都 港区 虎ノ門駅,年収420万円～600万円,公開していません,Geekly
ツクリンク株式会社,カスタマーサクセス,東京都 港区 六本木駅,年収400万円～600万円,13日前,doda
シルバーエッグ・テクノロジー株式会社,アカウント・コンサルタント／ITコンサルタント,東京都 千代田区,公開していません,公開していません,マイナビAGENT
株式会社スタッフサービス,ITサポート,東京都 中央区 三越前駅 徒歩1分,"月給23万5,000円～",5日前,株式会社スタッフサービス エンジニアリング事業本部
CO-NECT株式会社,カスタマーサクセス,東京都 千代田区 小川町駅 徒歩3分,年収400万円～800万円,1日前,Green
株式会社ケップル,投資家向けSaaSのカスタマーサクセス,東京都 渋谷区 渋谷駅,年収500万円～700万円,2日前,マイナビ転職エージェントサーチ
株式会社ハウテレビジョン,カスタマーサクセス／ハイクラス人材向け転職プラットフォーム リモートワーク可,東京都 港区 六本木一丁目駅,年収650万円～880万円,13日前,doda
株式会社リーディングマーク,SaaSカスタマーサクセス,東京都 港区 芝公園駅 徒歩7分,年収450万円～700万円,公開していません,U29JOB
株式会社ベーシック,フォーム作成管理ツール「formrun」におけるカスタマーサクセス,東京都 千代田区 半蔵門駅,年収444万円～714万円,公開していません,doda
メディアリンク株式会社,リモートワーク×カスタマーサクセス コールセンターの「応対品質改善」をお任せ,東京都 港区,年収350万円～600万円,8日前,LIBZ
ストックマーク株式会社,カスタマーサクセス,東京都 港区,年収500万円～800万円,3日前,doda
株式会社ユーティル,カスタマーサクセス,東京都 新宿区 早稲田駅 徒歩4分,月給25万円～,9日前,U29JOB
株式会社ゲームエイト,カスタマーサクセス,東京都 渋谷区 渋谷駅,年収400万円～600万円,8時間前,doda
株式会社RevComm,カスタマーサクセス,東京都 渋谷区,年収600万円～900万円,13日前,doda
株式会社スマレジ,カスタマーサクセス,東京都 渋谷区 恵比寿駅 徒歩7分,年収350万円～500万円,1日前,CREATIVE JOB
株式会社シンカ,カスタマーサクセス,東京都 千代田区 竹橋駅 徒歩6分,年収360万円～550万円,1日前,Green
ファインディ株式会社,Findy Freelance カスタマーサクセスリーダー,東京都 品川区 五反田駅 徒歩12分,年収500万円～900万円,3時間前,Green
株式会社イー・ビジョン,カスタマーサクセス・サポートマネージャー,東京都 新宿区 新宿駅 徒歩8分,年収500万円～800万円,4日前,株式会社イー・ビジョン
株式会社DONUTS,医療機関向けサービスのカスタマーサクセス,東京都,公開していません,9日前,株式会社DONUTS
株式会社メタップス,カスタマーサクセス～東証マザーズ上場／SaaSの新サービス／年休120日／残業30時間程度～,東京都 渋谷区 渋谷駅,年収450万円～700万円,12日前,doda
株式会社Stock,SaaSカスタマーサクセス募集／若手活躍中・第二新卒歓迎,東京都 千代田区 岩本町駅,年収400万円～600万円,公開していません,Geekly
インヴェンティット株式会社,カスタマーサクセス 教育現場を支えるSaaS 組織変革フェーズ／毎年120%成長,東京都 新宿区 四ツ谷駅,年収450万円～650万円,17日前,doda
株式会社タイミー,フィールドセールス／自社サービス「タイミー」のセールスとカスタマーサクセス,東京都 豊島区,年収500万円～700万円,14日前,doda
株式会社マーケライズ,自社開発SaaS・MAツールのカスタマーサクセス 製造業BtoBに特化／リーダー候補／残業10h以内,東京都 新宿区,年収400万円～600万円,12日前,doda
モノグサ株式会社,カスタマーサクセスMGR,東京都 千代田区 飯田橋駅,"年収550万円～1,150万円",16日前,doda
株式会社サイカ,お客様満足度の最大化を目指すカスタマーサクセスで新チーム立ち上げに挑戦しませんか,東京都,年収550万円～800万円,公開していません,Spring転職エージェント
株式会社スポーツフィールド,スポーツ業界特化型求人サイト カスタマーサクセスインターン,東京都 新宿区,"時給1,050円～",1日前,スポジョバ
株式会社データX,導入コンサルタント データ／IT／マーケティングなど今後社会で必要となる知識を未経験から獲得できるポ...,東京都,年収420万円～720万円,公開していません,Spring転職エージェント
株式会社アサーティブ,「顧客志向を当たり前に」店舗向けSaaSのカスタマーサクセスを募集／約3億円資金調達済み,東京都 渋谷区,公開していません,公開していません,株式会社アサーティブ
エムスリー株式会社,カスタマーサクセス～製薬企業のMR活動をDX化するSaaSプロダクト～,東京都 千代田区 溜池山王駅,"年収500万円～1,000万円",3日前,doda
株式会社POL,カスタマーサクセス ～国内最大級の理系学生データベース～,東京都 千代田区,年収400万円～600万円,18日前,doda
株式会社Hacobu,顧客に寄り添った物流業界向けカスタマーサクセス,東京都 港区,"年収400万円～1,000万円",15日前,doda
ヘイ株式会社,カスタマーサクセス,東京都 渋谷区 恵比寿駅,年収400万円～600万円,17日前,doda
アイティメディア株式会社,カスタマーサクセス,東京都 千代田区,年収450万円～615万円,7日前,ワークポート
株式会社マーベリック,導入サポート兼カスタマーサクセス／ワークライフバランス,東京都 中央区 馬喰横山駅 徒歩5分,年収320万円～420万円,19日前,doda
フリー株式会社,カスタマーサクセスコンサルタント,東京都,"年収500万円～1,000万円",公開していません,Spring転職エージェント
株式会社ジェナ,カスタマーサクセス,東京都 千代田区 小川町駅 徒歩3分,公開していません,2日前,CREATIVE JOB
株式会社Hajimari,intee事業部／カスタマーサクセス,東京都 渋谷区,公開していません,6日前,マイナビAGENT
株式会社Techouse,カスタマーサクセスマネージャー,東京都 港区,年収500万円～700万円,13日前,doda
株式会社メドレー,新規事業 マネージャー候補／カスタマーサクセス,東京都 港区,年収450万円～800万円,18時間前,パソナキャリア
ファーストアカウンティング株式会社,カスタマーサクセスエンジニア メンバー,東京都 港区 浜松町駅 徒歩5分,年収400万円～600万円,1日前,Green
スタディプラス株式会社,カスタマーサクセス・リーダー候補,東京都 千代田区 御茶ノ水駅 徒歩4分,年収452万円～600万円,4日前,U29JOB
寺田倉庫株式会社,カスタマーサクセス担当／右肩上がりの成長市場! クラウド収納サービス,東京都 品川区,年収400万円～550万円,3日前,STASEON
株式会社ジーニー,"自社SFAの導入コンサルタント, カスタマーサクセスチームMGR候補 檜垣作成",東京都 新宿区 西新宿駅 徒歩2分,"年収700万円～1,100万円",5時間前,Green
Sansan株式会社,カスタマーサクセスマネージャー,東京都 港区 表参道駅 徒歩4分,年収490万円～644万円,1日前,CREATIVE JOB
オープンアソシエイツ株式会社,カスタマーサクセス,東京都 港区 虎ノ門ヒルズ駅,年収420万円～700万円,公開していません,U29JOB
株式会社Mobility Technologies,DRIVE CHART ビジネス開発 カスタマーサクセス,東京都 港区,"年収550万円～1,000万円",公開していません,株式会社Mobility Technologies
株式会社ハンモック,技術サポート／自社製品「AssetView」法人向けIT資産管理ツール製品,東京都 新宿区,年収450万円～550万円,17日前,doda
e‐dash株式会社,カスタマーサクセス,東京都 千代田区,年収500万円～700万円,7日前,doda
イタンジ株式会社,カスタマーサクセス,東京都 港区,年収500万円～800万円,公開していません,U29JOB
株式会社リブセンス,カスタマーサクセス,東京都 港区 浜松町駅 徒歩4分,年収500万円～800万円,17日前,U29JOB
キャディ株式会社,東京／カスタマーサクセス リーダー～Mgr,東京都 台東区,"年収500万円～1,000万円",9日前,パソナキャリア
株式会社ブロードリーフ,インサイドセールス／カスタマーサクセス,東京都 品川区,年収350万円～450万円,11日前,パソナキャリア
アデコ株式会社,一般事務・OA事務／IT・通信関連,東京都 港区 赤坂見附駅 徒歩4分,"時給1,800円～",2時間前,はたらこねっと
株式会社スプラシア,カスタマーサクセス,東京都 中央区 東銀座駅 徒歩3分,月給28万円～,4時間前,U29JOB
ウェルネス・コミュニケーションズ株式会社,カスタマーサクセス 健康管理クラウドサービスを利用する企業様に導入や活用のサポートをお任せ!,東京都 港区,年収400万円～550万円,13日前,LIBZ
アイレット株式会社,カスタマーサクセスマネージャー,東京都 港区 虎ノ門ヒルズ駅 徒歩2分,年収600万円～900万円,公開していません,U29JOB
株式会社ヤプリ,カスタマーサクセス,東京都 港区 六本木一丁目駅 徒歩3分,年収400万円～800万円,公開していません,U29JOB
株式会社リクルートマネジメントソリューションズ,カスタマーサクセス,東京都 品川区 大崎駅 徒歩1分,年収640万円～772万円,4日前,U29JOB
弁護士ドットコム株式会社,カスタマーサクセス／ポテンシャル枠～高い認知度・急成長中のSaaS事業「クラウドサイン」～,東京都 港区 六本木一丁目駅,"年収508万円～1,000万円",13日前,doda
GMO ReTech株式会社,カスタマーサクセス,東京都 渋谷区 渋谷駅 徒歩5分,月給20万円～,1日前,U29JOB
BRANU株式会社,カスタマーサクセスマネージャー,東京都,月給42万円～,3日前,en ミドルの転職
Hubbit株式会社,副業歓迎!スキマ時間にシニア向けSaaSのカスタマーサクセスを募集,東京都 品川区 大崎駅 徒歩5分,"時給1,100円",公開していません,かんたん応募
株式会社CastingONE,カスタマーサクセス 第二創業期・シリーズA突入のHR系SaaSベンチャー企業,東京都 渋谷区,年収360万円～600万円,17日前,doda
株式会社オープンロジ,カスタマーサクセス,東京都 豊島区 池袋駅 徒歩7分,年収～500万円,18日前,Green
インフォコム株式会社,介護向けSaaSの開発・カスタマーサクセス,東京都 渋谷区 原宿駅,年収640万円～800万円,19日前,doda
株式会社カケハシ,カスタマーサクセス担当／新規事業「Musubi AI在庫管理」,東京都 中央区 東銀座駅,年収600万円～750万円,12日前,doda
株式会社HRBrain,カスタマーサクセス,東京都 渋谷区,公開していません,22日前,マイナビAGENT
スプリームシステム株式会社,カスタマーサクセス／自社ソフトウェア製品「Aimstar」「Moptar」,東京都 豊島区 池袋駅,年収500万円～800万円,12時間前,doda
株式会社ブレインパッド,カスタマーサクセスマネジャー,東京都 港区,年収550万円～900万円,公開していません,株式会社ブレインパッド
SGフィルダー株式会社,カスタマーサクセス,東京都 新宿区,年収250万円～350万円,5日前,SGフィルダー株式会社
株式会社HEROinnovation,カスタマーサクセス／月給30万円／残業月20h／未経験歓迎,東京都 新宿区 神楽坂駅 徒歩1分,月給30万円～,公開していません,doda
RPAテクノロジーズ株式会社,カスタマーサクセス,東京都 港区 虎ノ門ヒルズ駅 徒歩5分,月給35万円～,21日前,U29JOB
株式会社ダイレクトクラウド,カスタマーサクセス,東京都 港区 大門駅 徒歩5分,年収400万円～700万円,14日前,type
株式会社トライエッティング,フルリモートOK:カスタマーサクセス,東京都,年収500万円～700万円,公開していません,パソナキャリア
株式会社ドリーム・アーツ,カスタマーサクセス／エンタープライズ向けSaaS企業,東京都 渋谷区 恵比寿駅,年収450万円～990万円,16日前,doda
jinjer株式会社,業務用クラウドサービス「jinjer」のカスタマーサクセス,東京都 新宿区,公開していません,6時間前,エージェントパーク
Terra Drone株式会社,カスタマーサクセス,東京都 渋谷区 渋谷駅,年収350万円～600万円,14日前,doda
株式会社COMPASS,AI搭載の教育教材アプリ カスタマーサクセス～児童学習の効率化を実現～フルフレックス,東京都 文京区,年収500万円～700万円,20日前,doda
スマカン株式会社,当社初 SaaS×HRプロダクトのカスタマーサクセスの立ち上げメンバーを募集,東京都 大田区 大森駅 徒歩4分,年収400万円～800万円,11日前,Green
株式会社サイダス,カスタマーサクセス,東京都 港区 芝公園駅 徒歩1分,年収400万円～800万円,7日前,Green
株式会社LATRICO,未経験者歓迎! カスタマーサクセス,東京都 台東区 田原町駅 徒歩4分,年収450万円～600万円,3時間前,Green
株式会社リクルート,カスタマーサクセス・DX推進 社内ICT／ユーザーの声をもとに戦略立案／フルフレックス／年休145日,東京都 千代田区,"年収495万円～1,259万円",7時間前,doda
パーソルイノベーション株式会社,カスタマーサクセス／マネージャー候補,東京都 港区 青山一丁目駅,年収500万円～550万円,公開していません,Geekly
株式会社ユビレジ,カスタマーサクセス,東京都 渋谷区 北参道駅 徒歩4分,年収350万円～600万円,6日前,U29JOB
株式会社coco,店舗向けSaaSのカスタマーサクセスを募集／約3億円資金調達済み,東京都 渋谷区,"年収500万円～1,000万円",公開していません,リクルートエージェント
株式会社スカイディスク,カスタマーサクセス／成長企業中のベンチャー企業,東京都 千代田区,年収400万円～650万円,18日前,doda
株式会社PKSHA Workplace,カスタマーサクセス／営業出身者可 AI×SaaS／事業の拡大フェーズ,東京都 文京区,年収600万円～,2日前,リクルートエージェント
株式会社YOUPACE,カスタマーサクセス マネージャー候補,東京都 渋谷区 渋谷駅 徒歩8分,公開していません,3時間前,Green
WealthPark株式会社,カスタマーサクセスマネージャー データ連携担当,東京都 渋谷区 恵比寿駅 徒歩3分,年収600万円～850万円,1日前,Green
株式会社Fleekdrive,カスタマーサクセス,東京都 港区 田町駅,年収450万円～,3時間前,Green
バーチャレクス・コンサルティング株式会社,ITソリューション営業,東京都 港区,年収560万円～900万円,15日前,doda
株式会社TYL,予約システムのカスタマーサクセス,東京都 港区 芝公園駅 徒歩5分,年収500万円～700万円,7日前,doda
株式会社GRCS,カスタマーサクセス・既存顧客のニーズの深堀担当,東京都 千代田区 市ケ谷駅 徒歩1分,月給30万円～40万円,公開していません,しゅふJOB
シェアジャパン株式会社,リモートワーク可!カスタマーサクセス,東京都 新宿区,"年収357万8,400円～600万円",13時間前,かんたん応募
株式会社コンシェルジュ,カスタマーサクセス マーケティング経験者,東京都 千代田区 水道橋駅 徒歩1分,年収400万円～700万円,18日前,Green
株式会社ヘンリー,カスタマーサクセス チームの立ち上げから事業拡大までお任せします,東京都 品川区,"年収700万円～1,000万円",公開していません,リクルートエージェント
株式会社ユニラボ,カスタマーサクセス,東京都 品川区 五反田駅,年収400万円～550万円,7日前,doda
株式会社グローバルヘルスコンサルティング・ジャパン,カスタマーサクセス,東京都 新宿区 東新宿駅 徒歩1分,年収300万円～500万円,公開していません,U29JOB
株式会社センキョ,プラットフォームサービスのカスタマーサクセス／自社サービス,東京都 港区,年収400万円～600万円,15日前,doda
株式会社リザーブリンク,セールスからキャリアチェンジ歓迎!SaaSのカスタマーサクセス募集,東京都 港区 青山一丁目駅,年収400万円～,2日前,Green
株式会社メンタルヘルステクノロジーズ,カスタマーサクセス マネージャー候補 2011年創業のヘルスケアテックベンチャー,東京都,年収360万円～700万円,公開していません,キャリフレ
株式会社BLITZ Marketing,カスタマーサクセス,東京都 渋谷区 渋谷駅 徒歩8分,"月給37万5,000円～",12日前,U29JOB
